# Decryption Dispatch Table
# Total sparse-switch tables: 72
# Total unique hash keys: 288

# Format: hash_key -> table_idx, key_idx, handler_offset
 -2139704533 (0x-7f894cd5) -> table[28].key[0] -> +4
 -2091037683 (0x-7ca2b3f3) -> table[16].key[0] -> +40
 -2080431020 (0x-7c00dbac) -> table[12].key[0] -> +63
 -2077913679 (0x-7bda724f) -> table[33].key[0] -> +85
 -2073124915 (0x-7b916033) -> table[57].key[0] -> +417
 -2040938893 (0x-79a6418d) -> table[12].key[1] -> +75
 -2036632543 (0x-79648bdf) -> table[33].key[1] -> +119
 -2027692018 (0x-78dc1ff2) -> table[13].key[0] -> +43
 -2011709894 (0x-77e841c6) -> table[39].key[0] -> +10
 -2010608822 (0x-77d774b6) -> table[2].key[0] -> +17
 -1999175612 (0x-7728ffbc) -> table[52].key[0] -> +4
 -1998139839 (0x-771931bf) -> table[11].key[0] -> +-13
 -1984246681 (0x-76453399) -> table[15].key[0] -> +72
 -1983166091 (0x-7634b68b) -> table[7].key[0] -> +84
 -1965879164 (0x-752cef7c) -> table[47].key[0] -> +-13
 -1941825229 (0x-73bde6cd) -> table[62].key[0] -> +43
 -1921446504 (0x-7286f268) -> table[33].key[2] -> +91
 -1920362924 (0x-727669ac) -> table[25].key[0] -> +40
 -1917667115 (0x-724d472b) -> table[23].key[0] -> +40
 -1882676746 (0x-70375e0a) -> table[47].key[1] -> +16
 -1879826857 (0x-700be1a9) -> table[25].key[1] -> +-13
 -1877585958 (0x-6fe9b026) -> table[41].key[0] -> +4
 -1873659221 (0x-6fadc555) -> table[27].key[0] -> +432
 -1847145372 (0x-6e19339c) -> table[9].key[0] -> +7
 -1825914785 (0x-6cd53fa1) -> table[70].key[0] -> +4
 -1822701434 (0x-6ca4377a) -> table[41].key[1] -> +10
 -1820000447 (0x-6c7b00bf) -> table[5].key[0] -> +10
 -1807517977 (0x-6bbc8919) -> table[50].key[0] -> +-13
 -1791346650 (0x-6ac5c7da) -> table[17].key[0] -> +7
 -1782659844 (0x-6a413b04) -> table[62].key[1] -> +4
 -1775733047 (0x-69d78937) -> table[20].key[0] -> +17
 -1760589305 (0x-68f075f9) -> table[48].key[0] -> +4
 -1753905759 (0x-688a7a5f) -> table[28].key[1] -> +10
