# Functions accessing title (0xad90) but NOT short_v2 body (0xad88)
# These are STRONG candidates for LONG version dialog builder
# Format: func_addr  title_pcs  body_candidates

0x00654120  title=['0x654458']  body=['0xb9d0', '0xed90', '0xed98', '0xeda0', '0xf288', '0x20e68', '0x29d68', '0x45b80']
0x007dbd30  title=['0x7dbe7c', '0x7dbf48']  body=['0xb558', '0xb568', '0xec98', '0xf280', '0xf288', '0x12ac8', '0x12ad8', '0x12ae0', '0x12ae8', '0x12af0', '0x12af8', '0x12b00', '0x12b08']
0x007e5e18  title=['0x7e5f04']  body=['0x13ba0', '0x13ba8', '0x13bb0', '0x13bb8']
0x00893f84  title=['0x8947c8']  body=['0x237b8', '0x24880', '0x24888', '0x24890']
0x008b3cfc  title=['0x8b3f00']  body=['0x21830', '0x21838', '0x21840', '0x21848']
0x009f90d0  title=['0x9f95b0']  body=['0xb558', '0x12af0', '0x12af8', '0x12b00', '0x61748']
0x009f9688  title=['0x9f96bc', '0x9f98a4']  body=['0xae98', '0xb118', '0xb518', '0xbb90', '0xd6c0', '0x61750', '0x61758', '0x61770', '0x61780', '0x61788']
0x00a0068c  title=['0xa007b8']  body=['0xb518', '0xb558', '0xd6c0', '0x12af0', '0x12af8', '0x12b00', '0x61798', '0x61830']
0x00a05124  title=['0xa05254']  body=['0xb558', '0x12af0', '0x12af8', '0x12b00', '0x26b18', '0x52ee8']
0x00a05cb0  title=['0xa06c24']  body=['0xb558', '0x12af0', '0x12af8', '0x12b00', '0x12b48']
0x00a0b2d0  title=['0xa0b4f0']  body=['0xb558', '0x12af0', '0x12af8', '0x12b00', '0x12b48', '0x281c8', '0x39ac0', '0x63c38', '0x63c40', '0x63c48', '0x63c50', '0x63c58']
0x00a4a424  title=['0xa4a440']  body=[]
0x00a4b5e4  title=['0xa4b61c']  body=[]
0x00a4d67c  title=['0xa4d698']  body=[]
0x00a52338  title=['0xa52440']  body=['0xd6c0', '0xf288']
0x00a53998  title=['0xa53a28']  body=['0x1b420']
0x00a5a570  title=['0xa5abb0']  body=['0xeca8', '0xf288', '0x55a90', '0x55a98']
0x00a63364  title=['0xa636b4']  body=['0xeca8', '0xf288', '0x47538', '0x55bb0']
0x00a7d32c  title=['0xa7d6c0']  body=['0xeca8', '0xf288', '0x56540']
0x00a817b8  title=['0xa81b04']  body=['0x21c68', '0x2c5f8']
0x00a84360  title=['0xa84440']  body=['0xae98', '0x47fb0', '0x47fb8']
0x00a89a3c  title=['0xa89bc0']  body=['0xea38', '0xf288', '0x20e68', '0x220d8', '0x48198', '0x481a0']
0x00a8caf4  title=['0xa8cd4c']  body=['0x10108', '0x10110', '0x10190', '0x101a8', '0x48348']
0x00a92b0c  title=['0xa92de8']  body=['0xeda0', '0x43670', '0x47948', '0x47950', '0x47958']
0x00aa0698  title=['0xaa09e0']  body=['0xb558', '0xd8d0', '0x12af0', '0x12af8', '0x12b00', '0x22070', '0x23708', '0x246d0', '0x2a758', '0x2a760', '0x2a768']
0x00aa5078  title=['0xaa52e0']  body=['0xec90', '0xf280', '0xf298', '0xf2b0', '0x12ae0', '0x54028', '0x54030']
