# BL call targets, sorted by call count
# Total unique targets: 12908

0x00f83fec called 21237 times
0x00f8482c called 13224 times
0x00f82b48 called 9168 times
0x00f83044 called 7498 times
0x00f845fc called 7231 times
0x00f83da8 called 5725 times
0x00f8257c called 5455 times
0x00f82f38 called 4477 times
0x00d0267c called 4001 times
0x00f82494 called 3973 times
0x00f841ec called 3826 times
0x00f84454 called 3346 times
0x00f83d00 called 3010 times
0x00f8250c called 2877 times
0x0046799c called 2556 times
0x00f82558 called 2469 times
0x00f82b68 called 2393 times
0x00f82530 called 2271 times
0x00f84878 called 2120 times
0x0047369c called 2077 times
0x004655b0 called 2043 times
0x004676c4 called 1840 times
0x00f82264 called 1827 times
0x00f82b88 called 1762 times
0x00476898 called 1588 times
0x004726cc called 1384 times
0x00472520 called 1384 times
0x00472c98 called 1380 times
0x004670b0 called 1378 times
0x00f91140 called 1318 times
0x0047013c called 1269 times
0x00473fdc called 1217 times
0x00c833ac called 1204 times
0x00516000 called 1103 times
0x00f84944 called 1079 times
0x0046792c called 970 times
0x0046f800 called 791 times
0x00f7db68 called 675 times
0x00527768 called 665 times
0x00526e18 called 665 times
0x00535040 called 631 times
0x00f84648 called 621 times
0x00f844e8 called 594 times
0x004daf2c called 589 times
0x00f82ba8 called 496 times
0x0048342c called 464 times
0x00517b48 called 454 times
0x00f9240c called 447 times
0x00550bb4 called 447 times
0x004713f4 called 409 times
0x0046fedc called 405 times
0x004c6550 called 372 times
0x00f2216c called 360 times
0x00f923d4 called 321 times
0x00910968 called 320 times
0x00526e08 called 319 times
0x00f9116c called 314 times
0x00477df8 called 272 times
0x00473f20 called 269 times
0x00f8406c called 267 times
0x0080d1ec called 267 times
0x0051e30c called 253 times
0x0046f434 called 243 times
0x0046da64 called 233 times
0x00f3abac called 219 times
0x00820400 called 215 times
0x00654cd8 called 213 times
0x0046f2f4 called 212 times
0x004685b4 called 212 times
0x00495080 called 210 times
0x00494f44 called 210 times
0x00906424 called 208 times
0x0049f378 called 206 times
0x0048f39c called 194 times
0x00f8170c called 192 times
0x004685bc called 189 times
0x00642f38 called 187 times
0x00d90f88 called 181 times
0x00820448 called 181 times
0x007e02c0 called 172 times
0x00f7b9fc called 171 times
0x00f8234c called 170 times
0x00f732e8 called 168 times
0x00ef6554 called 161 times
0x004c8544 called 156 times
0x0046ff84 called 155 times
0x00f74154 called 154 times
0x009745d8 called 150 times
0x00464dbc called 149 times
0x005fc4b4 called 148 times
0x00654ebc called 148 times
0x00910904 called 147 times
0x0049f74c called 144 times
0x004ad254 called 142 times
0x004f370c called 141 times
0x007e0574 called 139 times
0x00535030 called 138 times
0x006527c8 called 137 times
0x0046556c called 134 times
0x004df06c called 134 times
0x009371ac called 133 times
0x0047f1c8 called 133 times
0x004c9ba4 called 133 times
0x00f82bc8 called 131 times
0x00f769b0 called 129 times
0x004c5bd4 called 128 times
0x004c5a8c called 127 times
0x00f216e4 called 126 times
0x0047acc0 called 124 times
0x00515ca8 called 124 times
0x00470e68 called 123 times
0x00470f1c called 121 times
0x0056ba44 called 120 times
0x006527b8 called 119 times
0x00652784 called 119 times
0x00473cc0 called 118 times
0x004ea988 called 117 times
0x008204ec called 115 times
0x004c7854 called 113 times
0x009f5018 called 113 times
0x00647300 called 112 times
0x00486d58 called 111 times
0x00526c94 called 111 times
0x0046dc48 called 110 times
0x00f84994 called 109 times
0x0046dfb8 called 107 times
0x0047a4f8 called 106 times
0x00f975f4 called 106 times
0x004c6204 called 104 times
0x00ee9714 called 102 times
0x00ec2780 called 102 times
0x0047a478 called 100 times
0x00eabc34 called 100 times
0x00464ff4 called 99 times
0x004b50fc called 98 times
0x009979c4 called 98 times
0x00c8f288 called 97 times
0x00f17ed8 called 97 times
0x00f90dfc called 96 times
0x00cbe128 called 95 times
0x004c676c called 94 times
0x00cb5ab8 called 94 times
0x009de24c called 93 times
0x00f9239c called 92 times
0x005288ac called 92 times
0x004930e0 called 90 times
0x00473da0 called 89 times
0x004a10a8 called 89 times
0x00840294 called 89 times
0x0083f658 called 89 times
0x004c6924 called 88 times
0x00f91238 called 86 times
0x004a1da4 called 86 times
0x004df2ec called 86 times
0x0056a6e8 called 86 times
0x006521d4 called 86 times
0x00f559e4 called 86 times
0x00ef6bbc called 85 times
0x0046f9f8 called 84 times
0x004cfac4 called 83 times
0x00a290f0 called 83 times
0x004df380 called 82 times
0x0057887c called 82 times
0x004d9688 called 81 times
0x0097bd40 called 81 times
0x004a0d60 called 80 times
0x00f21c90 called 80 times
0x00a59fdc called 80 times
0x00f6754c called 80 times
0x004db23c called 79 times
0x0047c384 called 78 times
0x00535050 called 78 times
0x00584480 called 77 times
0x0054af94 called 76 times
0x008204fc called 76 times
0x00c83e5c called 75 times
0x0052fc54 called 75 times
0x00572b0c called 75 times
0x00654980 called 75 times
0x00467f28 called 74 times
0x0090854c called 74 times
0x00b7d58c called 74 times
0x004809f0 called 73 times
0x00565584 called 73 times
0x00f2d398 called 72 times
0x004be00c called 72 times
0x004ed7a8 called 72 times
0x0053ae38 called 72 times
0x00679750 called 72 times
0x00517b38 called 71 times
0x00465c3c called 70 times
0x00eed50c called 70 times
0x00d83dd0 called 70 times
0x00f0b6c4 called 70 times
0x0056bb08 called 70 times
0x0080d1dc called 70 times
0x00918448 called 70 times
0x00905260 called 69 times
0x00517a98 called 68 times
0x0046db08 called 67 times
0x0048f5b4 called 67 times
0x00654960 called 67 times
0x00f83a6c called 65 times
0x0099d7b0 called 65 times
0x0047756c called 64 times
0x00d99300 called 64 times
0x00967ef8 called 62 times
0x00f14c90 called 62 times
0x0049f694 called 62 times
0x00f83358 called 62 times
0x0052ff4c called 62 times
0x00651fc8 called 62 times
0x008203f0 called 61 times
0x004822d8 called 60 times
0x00f842a0 called 60 times
0x004aad50 called 60 times
0x004af1b0 called 60 times
0x00f7d130 called 60 times
0x00f00360 called 60 times
0x004ed584 called 60 times
0x0051f43c called 60 times
0x0095def8 called 60 times
0x0046ec14 called 59 times
0x0048e2b0 called 59 times
0x00530bd4 called 59 times
0x00584354 called 59 times
0x009058e0 called 59 times
0x00654950 called 59 times
0x00cd1ba0 called 59 times
0x00f83d54 called 58 times
0x00d89760 called 58 times
0x00654940 called 58 times
0x0080a480 called 58 times
0x00d6b630 called 57 times
0x00580894 called 56 times
0x004dab30 called 55 times
0x00534f58 called 55 times
0x00c6b23c called 54 times
0x0048f660 called 54 times
0x00923654 called 54 times
0x005296d4 called 54 times
0x00542a44 called 54 times
0x0054a87c called 53 times
0x0055edb4 called 53 times
0x00570348 called 53 times
0x0056f7c8 called 53 times
0x00530c3c called 52 times
0x007f89d8 called 52 times
0x00953b38 called 50 times
0x00534110 called 50 times
0x00567c28 called 50 times
0x00ef6628 called 50 times
0x0084b704 called 49 times
0x00ec36c0 called 48 times
0x004ec0bc called 48 times
0x00906c50 called 48 times
0x007dc0b4 called 48 times
0x00495e8c called 47 times
0x0056a164 called 47 times
0x004d1b78 called 47 times
0x004ca738 called 46 times
0x0055330c called 46 times
0x0053bbd4 called 46 times
0x0054d774 called 46 times
0x00569ffc called 46 times
0x008f3d94 called 46 times
0x0054ae88 called 45 times
0x00826350 called 45 times
0x00d93694 called 44 times
0x00531480 called 43 times
0x00908c18 called 43 times
0x00535114 called 43 times
0x0095e028 called 43 times
0x0047cb80 called 42 times
0x0048efb8 called 42 times
0x004951b4 called 42 times
0x0093c0b8 called 42 times
0x00815460 called 42 times
0x00815034 called 42 times
0x008f5ca4 called 42 times
0x00c8f5ac called 42 times
0x00ef7c40 called 42 times
0x0048f5a4 called 41 times
0x004e00e4 called 41 times
0x00516868 called 41 times
0x00570a7c called 41 times
0x007e8534 called 41 times
0x00cbe844 called 41 times
0x00470bb0 called 40 times
0x00f46434 called 40 times
0x00f0254c called 40 times
0x0081d6c4 called 40 times
0x00820b10 called 40 times
0x00cc207c called 40 times
0x00f82be8 called 39 times
0x004823e4 called 39 times
0x00d99904 called 39 times
0x00924bf4 called 39 times
0x007e0ed4 called 39 times
0x00473244 called 38 times
0x004cb0b0 called 38 times
0x004d49c0 called 38 times
0x00528aec called 38 times
0x0053178c called 38 times
0x00544f00 called 38 times
0x0054d9d8 called 38 times
0x0064d240 called 38 times
0x004678c0 called 37 times
0x0047456c called 37 times
0x009505c4 called 37 times
0x004d1d70 called 37 times
0x005179b8 called 37 times
0x005209fc called 37 times
0x004a16c8 called 37 times
0x00660c68 called 37 times
0x0098a3e8 called 37 times
0x00f17d14 called 36 times
0x004ee5f0 called 36 times
0x006527d8 called 36 times
0x007eee74 called 36 times
0x007ee610 called 36 times
0x007ee24c called 36 times
0x00850dc0 called 36 times
0x00980b28 called 36 times
0x00f20790 called 35 times
0x0049f644 called 35 times
0x0090cfb0 called 35 times
0x00850db0 called 35 times
0x00f16644 called 35 times
0x00cd0d40 called 35 times
0x00590a40 called 34 times
0x00f82c68 called 34 times
0x00dadf7c called 34 times
0x00f4190c called 33 times
0x00905fe8 called 33 times
0x0064d080 called 33 times
0x007e63dc called 33 times
0x008424e8 called 33 times
0x00f7b600 called 32 times
0x00d88018 called 32 times
0x007e0584 called 32 times
0x0095ddd4 called 32 times
0x00cd120c called 31 times
0x0046fb48 called 31 times
0x00f27910 called 31 times
0x004caf7c called 31 times
0x0050f3c0 called 31 times
0x00512460 called 31 times
0x0060ae6c called 31 times
0x007e87f4 called 31 times
0x00f83678 called 30 times
0x00587aa8 called 30 times
0x00f7b984 called 30 times
0x004c65e0 called 30 times
0x004e8e3c called 30 times
0x00536ac0 called 30 times
0x005235a4 called 30 times
0x00f26fd8 called 30 times
0x00535180 called 30 times
0x0065d28c called 30 times
0x007e02b0 called 30 times
0x007dd030 called 30 times
0x0081eb6c called 30 times
0x00484b4c called 29 times
0x004bd44c called 29 times
0x00f1539c called 29 times
0x0053c200 called 29 times
0x0057d194 called 29 times
0x0057cfcc called 29 times
0x00908f30 called 29 times
0x00907c68 called 29 times
0x007ee4b4 called 29 times
0x009b71a8 called 29 times
0x00c6c644 called 29 times
0x00469464 called 28 times
0x00d94e88 called 28 times
0x004c5ab0 called 28 times
0x00529970 called 28 times
0x00904dc4 called 28 times
0x00490bc0 called 28 times
0x00b4e150 called 28 times
0x00c66090 called 28 times
0x00466ad4 called 27 times
0x0048f1c0 called 27 times
0x004db790 called 27 times
0x00589174 called 27 times
0x0053cd34 called 27 times
0x004f2bd0 called 27 times
0x009051cc called 27 times
0x00969de4 called 27 times
0x00f823ec called 27 times
0x008f64d8 called 27 times
0x00ea9a6c called 26 times
0x004d9d28 called 26 times
0x00528514 called 26 times
